proposal,pillar,ticker,name,asset_type,sector,style,region,strategy_bucket,target_weight_pct,role,target_weight_pct_seed,category
FullResearch,Research,IDU,iShares U.S. Utilities ETF,ETF,Utilities,Defensive Yield,US,Sector ETF Basket,1.0,Utilities defensive diversification,1.0,Utilities
FullResearch,Research,UTES,Virtus Reaves Utilities ETF,ETF,Utilities,Active Yield,US,Sector ETF Basket,1.0,Actively managed utility income tilt,1.0,Utilities
FullResearch,Research,XLF,Financial Select Sector SPDR Fund,ETF,Financials,Cyclical Core,US,Sector ETF Basket,3.0,US financial sector anchor,3.0,Cyclical Leaders
FullResearch,Research,VFH,Vanguard Financials ETF,ETF,Financials,Cyclical Core,US,Sector ETF Basket,3.0,Broad financial subsector diversification,3.0,Cyclical Leaders
FullResearch,Research,IYF,iShares U.S. Financials ETF,ETF,Financials,Balanced,US,Sector ETF Basket,3.0,Balanced large and mid financials,3.0,Cyclical Leaders
FullResearch,Research,KBWB,Invesco KBW Bank ETF,ETF,Financials,Bank Focus,US,Sector ETF Basket,3.0,Bank-heavy cyclical exposure,3.0,Cyclical Leaders
FullResearch,Research,EUFN,iShares MSCI Europe Financials ETF,ETF,Financials,Global Diversifier,Europe,Sector ETF Basket,3.0,European financial diversification,3.0,Cyclical Leaders
FullResearch,Research,VNQ,Vanguard Real Estate ETF,ETF,Real Estate,REIT Core,US,Sector ETF Basket,1.5,Broad US REIT core exposure,1.5,Real Estate
FullResearch,Research,SCHH,Schwab U.S. REIT ETF,ETF,Real Estate,REIT Core,US,Sector ETF Basket,1.5,Highly liquid US REIT basket,1.5,Real Estate
FullResearch,Research,XLRE,Real Estate Select Sector SPDR Fund,ETF,Real Estate,REIT Core,US,Sector ETF Basket,1.5,S&P real estate sector allocation,1.5,Real Estate
FullResearch,Research,IYR,iShares U.S. Real Estate ETF,ETF,Real Estate,Commercial Tilt,US,Sector ETF Basket,1.5,Commercial REIT tilt diversification,1.5,Real Estate
FullResearch,Research,RWR,SPDR Dow Jones REIT ETF,ETF,Real Estate,REIT Core,US,Sector ETF Basket,1.5,US REIT index diversification,1.5,Real Estate
FullResearch,Research,XLB,Materials Select Sector SPDR Fund,ETF,Materials,Cyclical Core,US,Sector ETF Basket,1.8,US materials large-cap anchor,1.8,Materials/Mining
FullResearch,Research,VAW,Vanguard Materials ETF,ETF,Materials,Cyclical Core,US,Sector ETF Basket,1.8,Broad low-cost materials exposure,1.8,Materials/Mining
FullResearch,Research,MXI,iShares Global Materials ETF,ETF,Materials,Global Diversifier,Global,Sector ETF Basket,1.8,Global materials diversification,1.8,Materials/Mining
FullResearch,Research,IYM,iShares U.S. Basic Materials ETF,ETF,Materials,Cyclical Core,US,Sector ETF Basket,1.8,US basic materials exposure,1.8,Materials/Mining
FullResearch,Research,PICK,iShares MSCI Global Metals & Mining Producers ETF,ETF,Materials,Mining Tilt,Global,Sector ETF Basket,1.8,Metals and mining upside tilt,1.8,Materials/Mining
FullResearch,Research,XLK,Technology Select Sector SPDR Fund,ETF,Technology,Growth Core,US,Sector ETF Basket,5.0,US large-cap technology core,5.0,Growth Engines
FullResearch,Research,VGT,Vanguard Information Technology ETF,ETF,Technology,Growth Core,US,Sector ETF Basket,5.0,Broad tech growth exposure,5.0,Growth Engines
FullResearch,Research,FTEC,Fidelity MSCI Information Technology Index ETF,ETF,Technology,Growth Core,US,Sector ETF Basket,5.0,Low-cost technology diversification,5.0,Growth Engines
FullResearch,Research,IYW,iShares U.S. Technology ETF,ETF,Technology,Growth Core,US,Sector ETF Basket,5.0,Liquid broad US technology exposure,5.0,Growth Engines
FullResearch,Research,SOXX,iShares Semiconductor ETF,ETF,Technology,Semiconductor Tilt,US,Sector ETF Basket,5.0,Semiconductor growth accelerator,5.0,Growth Engines
